Id,BSESymbol,NSESymbol,Name,AltName1,AltName2,TempName,Active,Alert,ModifiedOn,CreatedOn
1,532628,3IINFOTECH,3i Infotech,,,,1,0,20111001,20111001
2,523395,3MINDIA,3M India,,,,1,0,20111001,20111001
3,530431,,Ador Fontech,,,,1,0,20111001,20111001
4,517041,ADORWELD,Ador Welding,,,,1,0,20111001,20111001
5,500215,ATFL,Agro Tech Foods,,,,1,0,20111001,20111001
6,505885,ALFALAVAL,Alfa Laval (India),,,,1,0,20111001,20111001
7,500023,ASIANHOTNR,Asian Hotels (North),,,,1,0,20111001,20111001
8,532830,ASTRAL,Astral Poly Technik,,,,1,0,20111001,20111001
9,500103,BHEL,Bharat Heavy Electricals,,,,1,0,20111001,20111001
10,500031,BAJAJELEC,Bajaj Electricals,,,,1,0,20111001,20111001
11,523319,BALMLAWRIE,Balmer Lawrie and Company,,,,1,0,20111001,20111001
12,500042,BASF,BASF India,,,,1,0,20111001,20111001
13,500043,BATAINDIA,Bata India,,,,1,0,20111001,20111001
14,506285,BAYERCROP,Bayer Cropscience,,,,1,0,20111001,20111001
15,500048,BEML,BEML,,,,1,0,20111001,20111001
16,503960,BBL,Bharat Bijlee,,,,1,0,20111001,20111001
17,500049,BEL,Bharat Electronics,,,,1,0,20111001,20111001
18,526612,BLUEDART,Blue Dart Express,,,,1,0,20111001,20111001
19,500067,BLUESTARCO,Blue Star,,,,1,0,20111001,20111001
20,500530,BOSCHLTD,Bosch,,,,1,0,20111001,20111001
21,513375,CARBORUNIV,Carborundum Universal,,,,1,0,20111001,20111001
22,500870,CASTROL,Castrol India,,,,1,0,20111001,20111001
23,506390,CLNINDIA,Clariant Chemicals India,,,,1,0,20111001,20111001
24,531344,CONCOR,Container Corporation of India,,,,1,0,20111001,20111001
25,500092,CRISIL,CRISIL,,,,1,0,20111001,20111001
26,500093,CROMPGREAV,Crompton Greaves,,,,1,0,20111001,20111001
27,532178,ENGINERSIN,Engineers India,,,,1,0,20111001,20111001
28,500133,ESABINDIA,Esab India,,,,1,0,20111001,20111001
29,508906,EVERESTIND,Everest Industries,,,,1,0,20111001,20111001
30,505790,FAGBEARING,FAG Bearings India,,,,1,0,20111001,20111001
31,500469,FEDERALBNK,Federal Bank,,,,1,0,20111001,20111001
32,500150,FOSECOIND,Foseco India,,,,1,0,20111001,20111001
33,500690,GSFC,Gujarat State Fertilizers Company,,,,1,0,20111001,20111001
34,532155,GAIL,GAIL India,,,,1,0,20111001,20111001
35,530743,GEINDSYS,GEI Industrial Systems,,,,1,0,20111001,20111001
36,532424,GODREJCP,Godrej Consumer Products,,,,1,0,20111001,20111001
37,500300,GRASIM,Grasim Industries,,,,1,0,20111001,20111001
38,501455,GREAVESCOT,Greaves Cotton,,,,1,0,20111001,20111001
39,506076,GRINDWELL,Grindwell Norton,,,,1,0,20111001,20111001
40,522217,GUJAPOLLO,Gujarat Apollo Industries,,,,1,0,20111001,20111001
41,523477,GUJRATGAS,Gujarat Gas Company,,,,1,0,20111001,20111001
42,532702,GSPL,Gujarat State Petronet,,,,1,0,20111001,20111001
43,500010,HDFC,Housing Development Finance Corporation,,,,1,0,20111001,20111001
44,532662,HTMEDIA,HT Media,,,,1,0,20111001,20111001
45,532281,HCLTECH,HCL Technologies,,,,1,0,20111001,20111001
46,500180,HDFCBANK,HDFC Bank,,,,1,0,20111001,20111001
47,524735,HIKAL,Hikal,,,,1,0,20111001,20111001
48,522064,HONDAPOWER,Honda Siel Power Products,,,,1,0,20111001,20111001
49,517174,HONAUT,Honeywell Automation,,,,1,0,20111001,20111001
50,500187,HSIL,HSIL,,,,1,0,20111001,20111001
51,532659,IDFC,Infrastructure Development Finance Company,,,,1,0,20111001,20111001
52,532835,ICRA,ICRA,,,,1,0,20111001,20111001
53,532133,IFGLREFRAC,IFGL Refractories,,,,1,0,20111001,20111001
54,533177,IL&FSTRANS,ILandFS Transportation Networks,,,,1,0,20111001,20111001
55,532240,INDNIPPON,India Nippon Electricals,,,,1,0,20111001,20111001
56,500850,INDHOTEL,Indian Hotels Company,,,,1,0,20111001,20111001
57,506222,INEABS,INEOS ABS (India),,,,1,0,20111001,20111001
58,500209,INFY,Infosys,,,,1,0,20111001,20111001
59,531807,INGVYSYABK,ING Vysya Bank,,,,1,0,20111001,20111001
60,500210,INGERRAND,Ingersoll Rand (India),,,,1,0,20111001,20111001
61,500213,INTLTRAVHS,International Travel House,,,,1,0,20111001,20111001
62,532209,J&KBANK,Jammu and Kashmir Bank,,,,1,0,20111001,20111001
63,532705,JAGRAN,Jagran Prakashan,,,,1,0,20111001,20111001
64,522263,JMCPROJECT,JMC Projects (India),,,,1,0,20111001,20111001
65,513250,JYOTISTRUC,Jyoti Structures,,,,1,0,20111001,20111001
66,522287,KALPATPOWR,Kalpataru Power Transmission,,,,1,0,20111001,20111001
67,505890,WIDIA,Kennametal India,,,,1,0,20111001,20111001
68,505283,KGKHOSLA,Kirloskar Pneumatic Company,,,,1,0,20111001,20111001
69,532400,KPIT,KPIT Cummins Infosystems,,,,1,0,20111001,20111001
70,500249,KSBPUMPS,KSB Pumps,,,,1,0,20111001,20111001
71,500252,LAXMIMACH,Lakshmi Machine Works,,,,1,0,20111001,20111001
72,500510,LT,Larsen and Toubro,,,,1,0,20111001,20111001
73,500253,LICHSGFIN,LIC Housing Finance,,,,1,0,20111001,20111001
74,500520,M&M,Mahindra and Mahindra,,,,1,0,20111001,20111001
75,532950,MANJUSHREE,Manjushree Technopack,,,,1,0,20111001,20111001
76,532500,MARUTI,Maruti Suzuki India,,,,1,0,20111001,20111001
77,532629,MBECL,Mcnally Bharat Engineering,,,,1,0,20111001,20111001
78,524084,MONSANTO,Monsanto India,,,,1,0,20111001,20111001
79,532921,MUNDRAPORT,Mundra Port and Special Economic Zone,,,,1,0,20111001,20111001
80,532466,OFSS,Oracle Financial Services Software,,,,1,0,20111001,20111001
81,509820,PAPERPROD,Paper Products,,,,1,0,20111001,20111001
82,530381,PETRONENGG,Petron Engineering Construction,,,,1,0,20111001,20111001
83,500355,RALLIS,Rallis India,,,,1,0,20111001,20111001
84,500325,RELIANCE,Reliance Industries,,,,1,0,20111001,20111001
85,526861,,Rishi Laser,,,,1,0,20111001,20111001
86,522034,SHANTIGEAR,Shanthi Gears,,,,1,0,20111001,20111001
87,500387,SHREECEM,Shree Cements,,,,1,0,20111001,20111001
88,500550,SIEMENS,Siemens,,,,1,0,20111001,20111001
89,502742,SINTEX,Sintex Industries,,,,1,0,20111001,20111001
90,500472,SKFINDIA,SKF India,,,,1,0,20111001,20111001
91,532218,SOUTHBANK,South Indian Bank,,,,1,0,20111001,20111001
92,500112,SBIN,State Bank of India,,,,1,0,20111001,20111001
93,500403,SUNDRMFAST,Sundram Fasteners,,,,1,0,20111001,20111001
94,500407,SWARAJENG,Swaraj Engines,,,,1,0,20111001,20111001
95,500770,TATACHEM,Tata Chemicals,,,,1,0,20111001,20111001
96,500800,TATAGLOBAL,Tata Global Beverage,,,,1,0,20111001,20111001
97,532540,TCS,Tata Consultancy Services,,,,1,0,20111001,20111001
98,500411,THERMAX,Thermax,,,,1,0,20111001,20111001
99,500413,THOMASCOOK,Thomas Cook (India),,,,1,0,20111001,20111001
100,532343,TVSMOTOR,TVS Motor Company,,,,1,0,20111001,20111001
101,533269,WABAG,Va Tech Wabag,,,,1,0,20111001,20111001
102,520113,VESUVIUS,Vesuvius India,,,,1,0,20111001,20111001
103,532953,VGUARD,V-Guard Industries,,,,1,0,20111001,20111001
104,533023,WABCOINDIA,WABCO India,,,,1,0,20111001,20111001
